track_genre_clean,danceability,energy,acousticness,valence,instrumentalness,liveness,speechiness
power-pop,0.4667312633832977,0.8052066381156316,0.08363795550321199,0.611733618843683,0.06761755809421842,0.22496798715203428,0.05877890792291221
progressive-house,0.6223253150057273,0.811545246277205,0.06268684248568156,0.3615864833906071,0.19837636498281785,0.21158178694158078,0.0686774341351661
psych-rock,0.4942610208816705,0.5592491879350348,0.32968806837587006,0.5354199535962877,0.1046496944199536,0.21594663573085845,0.04871484918793503
punk,0.49744180225281603,0.8130663329161452,0.08816473993742178,0.559380225281602,0.03718628754693367,0.2167979974968711,0.0651180225281602
punk-rock,0.5067514518002323,0.8126155632984902,0.07802469456445993,0.5672020905923345,0.030316057468060396,0.23451730545876887,0.06441428571428572
r-n-b,0.6186713021491783,0.6423282814159292,0.3297323261694058,0.6393126422250316,0.009332968963337547,0.27937130214917827,0.08665663716814159
reggae,0.7214654654654654,0.6854564564564565,0.20622935435435436,0.6386006006006006,0.004084805645645646,0.22002942942942944,0.09845315315315316
reggaeton,0.7570931122448981,0.713389668367347,0.1863215943877551,0.6262835459183673,0.00929143368622449,0.17390637755102042,0.11750331632653062
rock,0.55788,0.654448,0.19805954,0.4741956,0.02157135316,0.1702156,0.0518228
rock-n-roll,0.5460406320541761,0.5124968397291196,0.5343569582392776,0.6611749435665915,0.014864776162528216,0.2267344243792325,0.045668735891647855
rockabilly,0.5503663133097763,0.6698985865724382,0.3953345974793875,0.7116772673733803,0.02895720745583039,0.22554805653710247,0.05550918727915194
romance,0.4319185185185185,0.3591592592592593,0.8077222222222221,0.4204564814814815,0.04439908092592592,0.21346296296296294,0.054531481481481486
sad,0.6927469387755103,0.4618123469387755,0.47673635306122447,0.4199241836734694,0.10612949303061224,0.1718911224489796,0.13148377551020407
salsa,0.6668953229398663,0.7200412026726057,0.4646163251670379,0.807064587973274,0.012394756481069044,0.18577527839643654,0.057195991091314034
samba,0.5754081632653061,0.6746964285714285,0.4901808979591837,0.6940587755102041,0.006558523887755102,0.4474387755102041,0.08387755102040817
sertanejo,0.5917667667667668,0.7103753753753753,0.4367515715715716,0.6192812812812813,0.0001604531131131131,0.4745149149149149,0.06485595595595596
